start month,start day,start year,start time,ampm,label
10,28,1950,12,33,AM,Scorpio
11,20,1950,10,03,PM,Sagittarius
12,14,1950,6,54,PM,Capricorn
1,7,1951,4,10,PM,Aquarius
1,31,1951,3,14,PM,Pisces
2,24,1951,6,26,PM,Aries
3,21,1951,5,05,AM,Taurus
4,15,1951,3,33,AM,Gemini
5,10,1951,8,41,PM,Cancer
6,7,1951,12,10,AM,Leo
7,8,1951,12,06,AM,Virgo
11,9,1951,1,48,PM,Libra
12,7,1951,7,19,PM,Scorpio
1,2,1952,1,44,PM,Sagittarius
1,27,1952,10,58,AM,Capricorn
2,20,1952,11,42,PM,Aquarius
3,16,1952,9,18,AM,Pisces
4,9,1952,6,17,PM,Aries
5,4,1952,3,55,AM,Taurus
5,28,1952,2,19,PM,Gemini
6,22,1952,12,46,AM,Cancer
7,16,1952,10,23,AM,Leo
8,9,1952,6,58,PM,Virgo
9,3,1952,3,17,AM,Libra
9,27,1952,12,36,PM,Scorpio
10,22,1952,12,02,AM,Sagittarius
11,15,1952,3,03,PM,Capricorn
12,10,1952,1,30,PM,Aquarius
1,5,1953,6,10,AM,Pisces
2,2,1953,12,54,AM,Aries
3,14,1953,1,58,PM,Taurus
3,31,1953,12,17,AM,Aries
6,5,1953,5,34,AM,Taurus
7,7,1953,5,30,AM,Gemini
8,3,1953,8,08,PM,Cancer
8,29,1953,8,35,PM,Leo
9,23,1953,10,48,PM,Virgo
10,18,1953,10,27,AM,Libra
11,11,1953,1,12,PM,Scorpio
12,5,1953,11,24,AM,Sagittarius
12,29,1953,7,53,AM,Capricorn
1,22,1954,4,20,AM,Aquarius
2,15,1954,2,01,AM,Pisces
3,11,1954,2,22,AM,Aries
4,4,1954,6,55,AM,Taurus
4,28,1954,5,03,PM,Gemini
5,23,1954,10,04,AM,Cancer
6,17,1954,12,04,PM,Leo
7,13,1954,3,43,AM,Virgo
8,8,1954,7,34,PM,Libra
9,6,1954,6,29,PM,Scorpio
10,24,1954,-6,53,AM,Sagittarius
10,27,1954,5,42,AM,Scorpio
1,6,1955,1,48,AM,Sagittarius
2,5,1955,8,15,PM,Capricorn
3,4,1955,3,22,PM,Aquarius
3,30,1955,6,30,AM,Pisces
4,24,1955,10,13,AM,Aries
5,19,1955,8,35,AM,Taurus
6,13,1955,3,38,AM,Gemini
7,7,1955,7,15,PM,Cancer
8,1,1955,6,43,AM,Leo
8,25,1955,1,52,PM,Virgo
9,18,1955,5,41,PM,Libra
10,12,1955,7,39,PM,Scorpio
11,5,1955,9,02,PM,Sagittarius
11,29,1955,10,42,PM,Capricorn
12,24,1955,1,52,AM,Aquarius
1,17,1956,9,22,AM,Pisces
2,11,1956,2,46,AM,Aries
3,7,1956,4,31,PM,Taurus
4,4,1956,2,23,AM,Gemini
5,7,1956,9,17,PM,Cancer
6,23,1956,7,10,AM,Gemini
8,4,1956,4,49,AM,Cancer
9,8,1956,4,23,AM,Leo
10,5,1956,10,12,PM,Virgo
10,31,1956,2,40,PM,Libra
11,25,1956,8,01,AM,Scorpio
12,19,1956,2,07,PM,Sagittarius
1,12,1957,3,23,PM,Capricorn
2,5,1957,3,16,PM,Aquarius
3,1,1957,3,39,PM,Pisces
3,25,1957,5,46,PM,Aries
4,18,1957,10,28,PM,Taurus
5,13,1957,6,08,AM,Gemini
6,6,1957,4,35,PM,Cancer
7,1,1957,5,42,AM,Leo
7,25,1957,10,10,PM,Virgo
8,19,1957,7,44,PM,Libra
9,14,1957,1,20,AM,Scorpio
10,9,1957,8,16,PM,Sagittarius
11,5,1957,6,46,PM,Capricorn
12,6,1957,10,26,AM,Aquarius
4,6,1958,11,00,AM,Pisces
5,5,1958,6,59,AM,Aries
5,31,1958,11,07,PM,Taurus
6,26,1958,6,08,PM,Gemini
7,22,1958,12,26,AM,Cancer
8,15,1958,8,28,PM,Leo
9,9,1958,7,35,AM,Virgo
10,3,1958,11,44,AM,Libra
10,27,1958,11,26,AM,Scorpio
11,20,1958,8,59,AM,Sagittarius
12,14,1958,5,55,AM,Capricorn
1,7,1959,3,16,AM,Aquarius
1,31,1959,2,28,AM,Pisces
2,24,1959,5,53,AM,Aries
3,20,1959,4,55,PM,Taurus
4,14,1959,4,08,PM,Gemini
5,10,1959,10,45,AM,Cancer
6,6,1959,5,43,PM,Leo
7,8,1959,7,08,AM,Virgo
9,20,1959,-1,59,AM,Leo
9,25,1959,3,15,AM,Virgo
11,9,1959,1,11,PM,Libra
12,7,1959,11,41,AM,Scorpio
1,2,1960,3,43,AM,Sagittarius
1,26,1960,11,46,PM,Capricorn
2,20,1960,11,47,AM,Aquarius
3,15,1960,8,53,PM,Pisces
4,9,1960,5,32,AM,Aries
5,3,1960,2,56,PM,Taurus
5,28,1960,1,11,AM,Gemini
6,21,1960,11,34,AM,Cancer
7,15,1960,9,11,PM,Leo
8,9,1960,5,54,AM,Virgo
9,2,1960,2,29,PM,Libra
9,27,1960,12,13,AM,Scorpio
10,21,1960,12,12,PM,Sagittarius
11,15,1960,3,57,AM,Capricorn
12,10,1960,3,34,AM,Aquarius
1,4,1961,10,31,PM,Pisces
2,1,1961,11,46,PM,Aries
6,5,1961,2,25,PM,Taurus
7,6,1961,11,32,PM,Gemini
8,3,1961,10,28,AM,Cancer
8,29,1961,9,18,AM,Leo
9,23,1961,10,43,AM,Virgo
10,17,1961,9,58,PM,Libra
11,11,1961,12,33,AM,Scorpio
12,4,1961,10,40,PM,Sagittarius
12,28,1961,7,07,PM,Capricorn
1,21,1962,3,31,PM,Aquarius
2,14,1962,1,09,PM,Pisces
3,10,1962,1,28,PM,Aries
4,3,1962,6,05,PM,Taurus
4,28,1962,4,23,AM,Gemini
5,22,1962,9,46,PM,Cancer
6,17,1962,12,31,AM,Leo
7,12,1962,5,32,PM,Virgo
8,8,1962,12,13,PM,Libra
9,6,1962,7,11,PM,Scorpio
1,6,1963,12,35,PM,Sagittarius
2,5,1963,3,36,PM,Capricorn
3,4,1963,6,41,AM,Aquarius
3,29,1963,8,00,PM,Pisces
4,23,1963,10,39,PM,Aries
5,18,1963,8,21,PM,Taurus
6,12,1963,2,57,PM,Gemini
7,7,1963,6,18,AM,Cancer
7,31,1963,5,38,PM,Leo
8,25,1963,12,49,AM,Virgo
9,18,1963,4,43,AM,Libra
10,12,1963,6,50,AM,Scorpio
11,5,1963,8,25,AM,Sagittarius
11,29,1963,10,21,AM,Capricorn
12,23,1963,1,53,PM,Aquarius
1,16,1964,9,54,PM,Pisces
2,10,1964,4,09,PM,Aries
3,7,1964,7,38,AM,Taurus
4,3,1964,10,03,PM,Gemini
5,8,1964,10,16,PM,Cancer
6,17,1964,1,17,PM,Gemini
8,5,1964,3,53,AM,Cancer
9,7,1964,11,53,PM,Leo
10,5,1964,1,10,PM,Virgo
10,31,1964,3,54,AM,Libra
11,24,1964,8,25,PM,Scorpio
12,19,1964,2,02,AM,Sagittarius
1,12,1965,3,00,AM,Capricorn
2,5,1965,2,41,AM,Aquarius
3,1,1965,2,55,AM,Pisces
3,25,1965,4,54,AM,Aries
4,18,1965,9,31,AM,Taurus
5,12,1965,5,08,PM,Gemini
6,6,1965,3,39,AM,Cancer
6,30,1965,4,59,PM,Leo
7,25,1965,9,51,AM,Virgo
8,19,1965,8,06,AM,Libra
9,13,1965,2,50,PM,Scorpio
10,9,1965,11,46,AM,Sagittarius
11,5,1965,2,36,PM,Capricorn
12,6,1965,11,37,PM,Aquarius
2,6,1966,7,46,AM,Capricorn
2,25,1966,5,55,AM,Aquarius
4,6,1966,10,53,AM,Pisces
5,4,1966,11,33,PM,Aries
5,31,1966,1,00,PM,Taurus
6,26,1966,6,40,AM,Gemini
7,21,1966,12,11,PM,Cancer
8,15,1966,7,47,AM,Leo
9,8,1966,6,40,PM,Virgo
10,2,1966,10,44,PM,Libra
10,26,1966,10,28,PM,Scorpio
11,19,1966,8,06,PM,Sagittarius
12,13,1966,5,09,PM,Capricorn
1,6,1967,2,36,PM,Aquarius
1,30,1967,1,53,PM,Pisces
2,23,1967,5,30,PM,Aries
3,20,1967,4,56,AM,Taurus
4,14,1967,4,54,AM,Gemini
5,10,1967,1,05,AM,Cancer
6,6,1967,11,48,AM,Leo
7,8,1967,5,11,PM,Virgo
9,9,1967,6,58,AM,Leo
10,1,1967,1,07,PM,Virgo
11,9,1967,11,32,AM,Libra
12,7,1967,3,48,AM,Scorpio
1,1,1968,5,37,PM,Sagittarius
1,26,1968,12,35,PM,Capricorn
2,19,1968,11,55,PM,Aquarius
3,15,1968,8,32,AM,Pisces
4,8,1968,4,48,PM,Aries
5,3,1968,1,56,AM,Taurus
5,27,1968,12,02,PM,Gemini
6,20,1968,10,20,PM,Cancer
7,15,1968,7,59,AM,Leo
8,8,1968,4,49,PM,Virgo
9,2,1968,1,39,AM,Libra
9,26,1968,11,45,AM,Scorpio
10,21,1968,12,16,AM,Sagittarius
11,14,1968,4,48,PM,Capricorn
12,9,1968,5,40,PM,Aquarius
1,4,1969,3,07,PM,Pisces
2,1,1969,11,45,PM,Aries
6,5,1969,8,48,PM,Taurus
7,6,1969,5,04,PM,Gemini
8,3,1969,12,30,AM,Cancer
8,28,1969,9,48,PM,Leo
9,22,1969,10,26,PM,Virgo
10,17,1969,9,17,AM,Libra
11,10,1969,11,40,AM,Scorpio
12,4,1969,9,41,AM,Sagittarius
12,28,1969,6,04,AM,Capricorn
1,21,1970,2,26,AM,Aquarius
2,14,1970,12,04,AM,Pisces
3,10,1970,12,25,AM,Aries
4,3,1970,5,05,AM,Taurus
4,27,1970,3,33,PM,Gemini
5,22,1970,9,19,AM,Cancer
6,16,1970,12,49,PM,Leo
7,12,1970,7,16,AM,Virgo
8,8,1970,4,59,AM,Libra
9,6,1970,8,54,PM,Scorpio
1,6,1971,8,00,PM,Sagittarius
2,5,1971,9,57,AM,Capricorn
3,3,1971,9,24,PM,Aquarius
3,29,1971,9,02,AM,Pisces
4,23,1971,10,44,AM,Aries
5,18,1971,7,48,AM,Taurus
6,12,1971,1,58,AM,Gemini
7,6,1971,5,02,PM,Cancer
7,31,1971,4,15,AM,Leo
8,24,1971,11,25,AM,Virgo
9,17,1971,3,25,PM,Libra
10,11,1971,5,43,PM,Scorpio
11,4,1971,7,30,PM,Sagittarius
11,28,1971,9,41,PM,Capricorn
12,23,1971,1,32,AM,Aquarius
1,16,1972,10,01,AM,Pisces
2,10,1972,5,08,AM,Aries
3,6,1972,10,25,PM,Taurus
4,3,1972,5,48,PM,Gemini
5,10,1972,8,51,AM,Cancer
6,11,1972,3,08,PM,Gemini
8,5,1972,8,26,PM,Cancer
9,7,1972,6,27,PM,Leo
10,5,1972,3,33,AM,Virgo
10,30,1972,4,40,PM,Libra
11,24,1972,8,23,AM,Scorpio
12,18,1972,1,34,PM,Sagittarius
1,11,1973,2,15,PM,Capricorn
2,4,1973,1,43,PM,Aquarius
2,28,1973,1,45,PM,Pisces
3,24,1973,3,34,PM,Aries
4,17,1973,8,05,PM,Taurus
5,12,1973,3,42,AM,Gemini
6,5,1973,2,20,PM,Cancer
6,30,1973,3,55,AM,Leo
7,24,1973,9,13,PM,Virgo
8,18,1973,8,10,PM,Libra
9,13,1973,4,05,AM,Scorpio
10,9,1973,3,08,AM,Sagittarius
11,5,1973,10,39,AM,Capricorn
12,7,1973,4,37,PM,Aquarius
1,29,1974,2,51,PM,Capricorn
2,28,1974,9,25,AM,Aquarius
4,6,1974,9,17,AM,Pisces
5,4,1974,3,21,PM,Aries
5,31,1974,2,19,AM,Taurus
6,25,1974,6,44,PM,Gemini
7,20,1974,11,34,PM,Cancer
8,14,1974,6,47,PM,Leo
9,8,1974,5,28,AM,Virgo
10,2,1974,9,27,AM,Libra
10,26,1974,9,12,AM,Scorpio
11,19,1974,6,56,AM,Sagittarius
