start month,start day,start year,start time,ampm,label
11,4,1969,1,51,PM,Aquarius
12,15,1969,9,22,AM,Pisces
1,24,1970,4,29,PM,Aries
3,6,1970,8,28,PM,Taurus
4,18,1970,1,59,PM,Gemini
6,2,1970,1,51,AM,Cancer
7,18,1970,1,43,AM,Leo
9,2,1970,11,57,PM,Virgo
10,20,1970,5,57,AM,Libra
12,6,1970,11,34,AM,Scorpio
1,22,1971,8,34,PM,Sagittarius
3,12,1971,5,11,AM,Capricorn
5,3,1971,3,57,PM,Aquarius
11,6,1971,7,31,AM,Pisces
12,26,1971,1,04,PM,Aries
2,10,1972,9,04,AM,Taurus
3,26,1972,11,30,PM,Gemini
5,12,1972,8,14,AM,Cancer
6,28,1972,11,09,AM,Leo
8,14,1972,7,59,PM,Virgo
9,30,1972,6,23,PM,Libra
11,15,1972,5,17,PM,Scorpio
12,30,1972,11,12,AM,Sagittarius
2,12,1973,12,51,AM,Capricorn
3,26,1973,3,59,PM,Aquarius
5,7,1973,11,09,PM,Pisces
6,20,1973,3,54,PM,Aries
8,12,1973,9,56,AM,Taurus
10,29,1973,5,56,PM,Aries
12,24,1973,3,09,AM,Taurus
2,27,1974,5,11,AM,Gemini
4,20,1974,3,18,AM,Cancer
6,8,1974,7,54,PM,Leo
7,27,1974,9,04,AM,Virgo
9,12,1974,2,08,PM,Libra
10,28,1974,2,05,AM,Scorpio
12,10,1974,5,05,PM,Sagittarius
1,21,1975,1,49,PM,Capricorn
3,3,1975,12,32,AM,Aquarius
4,11,1975,2,15,PM,Pisces
5,21,1975,3,14,AM,Aries
6,30,1975,10,53,PM,Taurus
8,14,1975,3,47,PM,Gemini
10,17,1975,3,44,AM,Cancer
11,25,1975,1,30,PM,Gemini
3,18,1976,8,15,AM,Cancer
5,16,1976,6,10,AM,Leo
7,6,1976,6,27,PM,Virgo
8,24,1976,12,55,AM,Libra
10,8,1976,3,23,PM,Scorpio
11,20,1976,6,53,PM,Sagittarius
12,31,1976,7,42,PM,Capricorn
2,9,1977,6,57,AM,Aquarius
3,19,1977,9,19,PM,Pisces
4,27,1977,10,46,AM,Aries
6,5,1977,10,00,PM,Taurus
7,17,1977,10,13,AM,Gemini
8,31,1977,7,20,PM,Cancer
10,26,1977,1,56,PM,Leo
1,25,1978,8,59,PM,Cancer
4,10,1978,1,50,PM,Leo
6,13,1978,9,38,PM,Virgo
8,4,1978,4,07,AM,Libra
9,19,1978,3,57,PM,Scorpio
11,1,1978,8,20,PM,Sagittarius
12,12,1978,12,39,PM,Capricorn
1,20,1979,12,07,PM,Aquarius
2,27,1979,3,25,PM,Pisces
4,6,1979,8,08,PM,Aries
5,15,1979,11,25,PM,Taurus
6,25,1979,8,55,PM,Gemini
8,8,1979,8,28,AM,Cancer
9,24,1979,4,21,PM,Leo
11,19,1979,4,36,PM,Virgo
3,11,1980,3,46,PM,Leo
5,3,1980,9,27,PM,Virgo
7,10,1980,12,59,PM,Libra
8,29,1980,12,50,AM,Scorpio
10,12,1980,1,27,AM,Sagittarius
11,21,1980,8,42,PM,Capricorn
12,30,1980,5,30,PM,Aquarius
2,6,1981,5,48,PM,Pisces
3,16,1981,9,40,PM,Aries
4,25,1981,2,17,AM,Taurus
6,5,1981,12,26,AM,Gemini
7,18,1981,3,54,AM,Cancer
9,1,1981,8,52,PM,Leo
10,20,1981,8,56,PM,Virgo
12,15,1981,7,14,PM,Libra
8,3,1982,6,45,AM,Scorpio
9,19,1982,8,20,PM,Sagittarius
10,31,1982,6,05,PM,Capricorn
12,10,1982,1,17,AM,Aquarius
1,17,1983,8,10,AM,Pisces
2,24,1983,7,19,PM,Aries
4,5,1983,9,03,AM,Taurus
5,16,1983,4,43,PM,Gemini
6,29,1983,1,54,AM,Cancer
8,13,1983,11,54,AM,Leo
9,29,1983,7,12,PM,Virgo
11,18,1983,5,26,AM,Libra
1,10,1984,10,20,PM,Scorpio
8,17,1984,2,50,PM,Sagittarius
10,5,1984,1,02,AM,Capricorn
11,15,1984,1,09,PM,Aquarius
12,25,1984,1,38,AM,Pisces
2,2,1985,12,19,PM,Aries
3,15,1985,12,06,AM,Taurus
4,26,1985,4,13,AM,Gemini
6,9,1985,5,40,AM,Cancer
7,24,1985,11,04,PM,Leo
9,9,1985,8,31,PM,Virgo
10,27,1985,10,16,AM,Libra
12,14,1985,1,59,PM,Scorpio
2,2,1986,1,27,AM,Sagittarius
3,27,1986,10,47,PM,Capricorn
10,8,1986,8,01,PM,Aquarius
11,25,1986,9,35,PM,Pisces
1,8,1987,7,20,AM,Aries
2,20,1987,9,44,AM,Taurus
4,5,1987,11,37,AM,Gemini
5,20,1987,10,01,PM,Cancer
7,6,1987,11,46,AM,Leo
8,22,1987,2,51,PM,Virgo
10,8,1987,2,27,PM,Libra
11,23,1987,10,19,PM,Scorpio
1,8,1988,10,24,AM,Sagittarius
2,22,1988,5,15,AM,Capricorn
4,6,1988,4,44,PM,Aquarius
5,22,1988,2,42,AM,Pisces
7,13,1988,3,00,PM,Aries
10,23,1988,5,01,PM,Pisces
11,1,1988,7,57,AM,Aries
1,19,1989,3,11,AM,Taurus
3,11,1989,3,51,AM,Gemini
4,28,1989,11,37,PM,Cancer
6,16,1989,9,10,AM,Leo
8,3,1989,8,35,AM,Virgo
9,19,1989,9,38,AM,Libra
11,4,1989,12,29,AM,Scorpio
12,17,1989,11,57,PM,Sagittarius
1,29,1990,9,10,AM,Capricorn
3,11,1990,10,54,AM,Aquarius
4,20,1990,5,09,PM,Pisces
5,31,1990,2,11,AM,Aries
7,12,1990,9,44,AM,Taurus
8,31,1990,6,40,AM,Gemini
12,14,1990,2,46,AM,Taurus
1,20,1991,8,15,PM,Gemini
4,2,1991,7,49,PM,Cancer
5,26,1991,7,19,AM,Leo
7,15,1991,7,36,AM,Virgo
9,1,1991,1,38,AM,Libra
10,16,1991,2,05,PM,Scorpio
11,28,1991,9,19,PM,Sagittarius
1,9,1992,4,47,AM,Capricorn
2,17,1992,11,38,PM,Aquarius
3,27,1992,9,04,PM,Pisces
5,5,1992,4,36,PM,Aries
6,14,1992,10,56,AM,Taurus
7,26,1992,1,59,PM,Gemini
9,12,1992,1,05,AM,Cancer
4,27,1993,6,40,PM,Leo
6,23,1993,2,42,AM,Virgo
8,11,1993,8,10,PM,Libra
9,26,1993,9,15,PM,Scorpio
11,9,1993,12,29,AM,Sagittarius
12,19,1993,7,34,PM,Capricorn
1,27,1994,11,05,PM,Aquarius
3,7,1994,6,01,AM,Pisces
4,14,1994,1,02,PM,Aries
5,23,1994,5,37,PM,Taurus
7,3,1994,5,30,PM,Gemini
8,16,1994,2,15,PM,Cancer
10,4,1994,10,48,AM,Leo
12,12,1994,6,32,AM,Virgo
1,22,1995,6,48,PM,Leo
5,25,1995,11,09,AM,Virgo
7,21,1995,4,21,AM,Libra
9,7,1995,2,00,AM,Scorpio
