Oct 21, 1959 4:40 AM Mars enters Scorpio
Dec 3, 1959 1:09 PM Mars enters Sagittarius
Jan 13, 1960 11:59 PM Mars enters Capricorn
Feb 22, 1960 11:11 PM Mars enters Aquarius
Apr 2, 1960 1:24 AM Mars enters Pisces
May 11, 1960 2:19 AM Mars enters Aries
June 20, 1960 4:05 AM Mars enters Taurus
Aug 1, 1960 11:32 PM Mars enters Gemini
Sep 20, 1960 11:06 PM Mars enters Cancer
Feb 4, 1961 7:43 PM Mars Rx enters Gemini
Feb 7, 1961 12:15 AM Mars enters Cancer
May 5, 1961 8:13 PM Mars enters Leo
June 28, 1961 6:47 PM Mars enters Virgo
Aug 16, 1961 7:41 PM Mars enters Libra
Oct 1, 1961 3:02 PM Mars enters Scorpio
Nov 13, 1961 4:50 PM Mars enters Sagittarius
Dec 24, 1961 12:50 PM Mars enters Capricorn
Feb 1, 1962 6:06 PM Mars enters Aquarius
Mar 12, 1962 2:58 AM Mars enters Pisces
Apr 19, 1962 11:58 AM Mars enters Aries
May 28, 1962 6:47 PM Mars enters Taurus
July 8, 1962 10:50 PM Mars enters Gemini
Aug 22, 1962 6:37 AM Mars enters Cancer
Oct 11, 1962 6:54 PM Mars enters Leo
June 3, 1963 1:30 AM Mars enters Virgo
July 26, 1963 11:14 PM Mars enters Libra
Sep 12, 1963 4:11 AM Mars enters Scorpio
Oct 25, 1963 12:31 PM Mars enters Sagittarius
Dec 5, 1963 4:03 AM Mars enters Capricorn
Jan 13, 1964 1:13 AM Mars enters Aquarius
Feb 20, 1964 2:33 AM Mars enters Pisces
Mar 29, 1964 6:24 AM Mars enters Aries
May 7, 1964 9:41 AM Mars enters Taurus
June 17, 1964 6:43 AM Mars enters Gemini
July 30, 1964 1:23 PM Mars enters Cancer
Sep 15, 1964 12:22 AM Mars enters Leo
Nov 5, 1964 10:20 PM Mars enters Virgo
June 28, 1965 8:12 PM Mars enters Libra
Aug 20, 1965 7:16 AM Mars enters Scorpio
Oct 4, 1965 1:46 AM Mars enters Sagittarius
Nov 14, 1965 2:19 AM Mars enters Capricorn
Dec 23, 1965 12:36 AM Mars enters Aquarius
Jan 30, 1966 2:01 AM Mars enters Pisces
Mar 9, 1966 7:55 AM Mars enters Aries
Apr 17, 1966 3:35 PM Mars enters Taurus
May 28, 1966 5:07 PM Mars enters Gemini
July 10, 1966 10:15 PM Mars enters Cancer
Aug 25, 1966 10:52 AM Mars enters Leo
Oct 12, 1966 1:37 PM Mars enters Virgo
Dec 3, 1966 7:55 PM Mars enters Libra
Feb 12, 1967 7:20 AM Mars enters Scorpio
Mar 31, 1967 1:10 AM Mars Rx enters Libra
July 19, 1967 5:56 PM Mars enters Scorpio
Sep 9, 1967 8:44 PM Mars enters Sagittarius
Oct 22, 1967 9:14 PM Mars enters Capricorn
Dec 1, 1967 3:12 PM Mars enters Aquarius
Jan 9, 1968 4:49 AM Mars enters Pisces
Feb 16, 1968 10:18 PM Mars enters Aries
Mar 27, 1968 6:43 PM Mars enters Taurus
May 8, 1968 9:14 AM Mars enters Gemini
June 21, 1968 12:03 AM Mars enters Cancer
Aug 5, 1968 12:07 PM Mars enters Leo
Sep 21, 1968 1:39 PM Mars enters Virgo
Nov 9, 1968 1:10 AM Mars enters Libra
Dec 29, 1968 5:07 PM Mars enters Scorpio
Feb 25, 1969 1:21 AM Mars enters Sagittarius
Sep 21, 1969 1:35 AM Mars enters Capricorn
Nov 4, 1969 1:51 PM Mars enters Aquarius
Dec 15, 1969 9:22 AM Mars enters Pisces
Jan 24, 1970 4:29 PM Mars enters Aries
Mar 6, 1970 8:28 PM Mars enters Taurus
Apr 18, 1970 1:59 PM Mars enters Gemini
June 2, 1970 1:51 AM Mars enters Cancer
July 18, 1970 1:43 AM Mars enters Leo
Sep 2, 1970 11:57 PM Mars enters Virgo
Oct 20, 1970 5:57 AM Mars enters Libra
Dec 6, 1970 11:34 AM Mars enters Scorpio
Jan 22, 1971 8:34 PM Mars enters Sagittarius
Mar 12, 1971 5:11 AM Mars enters Capricorn
May 3, 1971 3:57 PM Mars enters Aquarius
Nov 6, 1971 7:31 AM Mars enters Pisces
Dec 26, 1971 1:04 PM Mars enters Aries
Feb 10, 1972 9:04 AM Mars enters Taurus
Mar 26, 1972 11:30 PM Mars enters Gemini
May 12, 1972 8:14 AM Mars enters Cancer
June 28, 1972 11:09 AM Mars enters Leo
Aug 14, 1972 7:59 PM Mars enters Virgo
Sep 30, 1972 6:23 PM Mars enters Libra
Nov 15, 1972 5:17 PM Mars enters Scorpio
Dec 30, 1972 11:12 AM Mars enters Sagittarius
Feb 12, 1973 12:51 AM Mars enters Capricorn
Mar 26, 1973 3:59 PM Mars enters Aquarius
May 7, 1973 11:09 PM Mars enters Pisces
June 20, 1973 3:54 PM Mars enters Aries
Aug 12, 1973 9:56 AM Mars enters Taurus
Oct 29, 1973 5:56 PM Mars Rx enters Aries
Dec 24, 1973 3:09 AM Mars enters Taurus
Feb 27, 1974 5:11 AM Mars enters Gemini
Apr 20, 1974 3:18 AM Mars enters Cancer
June 8, 1974 7:54 PM Mars enters Leo
July 27, 1974 9:04 AM Mars enters Virgo
Sep 12, 1974 2:08 PM Mars enters Libra
Oct 28, 1974 2:05 AM Mars enters Scorpio
